"Ikas Import","Ikas İçe Aktarma"
"Import Products","Ürünleri İçe Aktar"
"Configuration","Yapılandırma"
"General Settings","Genel Ayarlar"
"Enable Module","Modülü Etkinleştir"
"Batch Size","Toplu İşlem Boyutu"
"Default Category Root","Varsayılan Kök Kategori"
"Maximum Execution Time","Maksimum Çalışma Süresi"
"Attribute Settings","Özellik Ayarları"
"Enable Dynamic Attribute Creation","Dinamik Özellik Oluşturmayı Etkinleştir"
"Attribute Prefix","Özellik Ön Eki"
"Attribute Group Name","Özellik Grubu Adı"
"Blacklisted Attribute Keys","Kara Listeye Alınmış Özellik Anahtarları"
"Minimum Key Length","Minimum Anahtar Uzunluğu"
"Stock Settings","Stok Ayarları"
"Manage Stock","Stok Yönetimi"
"Allow Backorders","Ön Siparişe İzin Ver"
"Default Source Code (MSI)","Varsayılan Kaynak Kodu (MSI)"
"Out of Stock Threshold","Stokta Yok Eşiği"
"Image Settings","Resim Ayarları"
"Enable Async Image Processing","Asenkron Resim İşlemeyi Etkinleştir"
"Queue Connection Type","Kuyruk Bağlantı Türü"
"Maximum Images Per Product","Ürün Başına Maksimum Resim"
"Allowed Extensions","İzin Verilen Uzantılar"
"Download Timeout","İndirme Zaman Aşımı"
"Clear Existing Images","Mevcut Resimleri Temizle"
"Category Settings","Kategori Ayarları"
"Auto-create Categories","Kategorileri Otomatik Oluştur"
"Include in Menu","Menüye Dahil Et"
"Validation Settings","Doğrulama Ayarları"
"Validate SKU Format","SKU Formatını Doğrula"
"Validate Prices","Fiyatları Doğrula"
"Validate URLs","URL'leri Doğrula"
"Required Fields","Gerekli Alanlar"
"Minimum Price","Minimum Fiyat"
"Maximum Price","Maksimum Fiyat"
"Advanced Settings","Gelişmiş Ayarlar"
"Debug Mode","Hata Ayıklama Modu"
"Memory Limit","Bellek Limiti"
"Clear Cache After Import","İçe Aktarma Sonrası Önbelleği Temizle"
"Reindex After Import","İçe Aktarma Sonrası Yeniden İndeksle"
"Log Level","Kayıt Seviyesi"
"Database","Veritabanı"
"RabbitMQ (AMQP)","RabbitMQ (AMQP)"
"Debug","Hata Ayıklama"
"Info","Bilgi"
"Warning","Uyarı"
"Error","Hata"
"Critical","Kritik"
